K WONDER K,TOOL,1500,10,0,0,10,CUKUP
K WONDER B,TOOL,4000,10,0,0,10,CUKUP
AR 2002F,TOOL,15000,10,0,0,10,CUKUP
CLEANER PUMP,TOOL,15000,10,0,0,10,CUKUP
CORONG ORCA,TOOL,2000,10,0,0,10,CUKUP
SEPATU ORCA,TOOL,2000,10,0,0,10,CUKUP
T PIPA,TOOL,400,10,0,0,10,CUKUP
L PIPA,TOOL,400,10,0,0,10,CUKUP
SAM PIPA,TOOL,300,10,0,0,10,CUKUP
TUTUP PIPA,TOOL,300,10,0,0,10,CUKUP
T SELANG,TOOL,200,10,0,0,10,CUKUP
L SELANG,TOOL,200,10,0,0,10,CUKUP
SAM SELANG,TOOL,200,10,0,0,10,CUKUP
INFUS,TOOL,500,10,0,0,10,CUKUP
DOP SKAT,TOOL,500,10,0,0,10,CUKUP
TCK,TOOL,1250,10,0,0,10,CUKUP
DOP PIPA,TOOL,850,10,0,0,10,CUKUP
DOP SELANG,TOOL,600,10,0,0,10,CUKUP
SLANG SPIRAL,TOOL,2000,10,0,0,10,CUKUP
Batu Air Stone K,TOOL,1000,10,0,0,10,CUKUP
Batu Air stone B,TOOL,1500,10,0,0,10,CUKUP
PIPA 1 Meter,TOOL,2000,10,0,0,10,CUKUP
SENGGANI,TOOL,900,500,0,0,500,CUKUP
RAS S,TOOL,3000,100,0,0,100,CUKUP
RAS M,TOOL,5000,20,0,0,20,CUKUP
RAS L,TOOL,7000,20,0,0,20,CUKUP
PASMAL R,BATU/PASIR,1500,50,0,0,50,CUKUP
BIO RING,BATU/PASIR,1000,50,0,0,50,CUKUP
